"country","countrycode","year","month","cpi_sa","cpi_yoy_nsa","exchange_rate_neer","exchange_rate_reer","exchnage_rate_vs_usd","ind_prod_const","ind_prod_const_sa","time","usa_imp_sa","usa_ip_sa","chn_ip_sa","ln_ip","ln_usa_ip","ln_chn_ip","ln_usa_imports","ln_er_usd","cc"
"Malaysia","MYS",1998,2,76.09022996296,4.41554747074,98.53248449647,95.94654225,3.82665,4526050472.34503,4769492746.27181,457,74184,233295400620.313,50452115592.3216,22.2855057936912,26.1755713013359,24.6442905173033,11.2143037724801,1.34198974681313,"MYS"
"Philippines","PHL",1998,2,53.15815445349,7.65160118101,132.896440573,93.1444605,40.14125,6599709764.04263,6233136328.53903,457,74184,233295400620.313,50452115592.3216,22.5531454665922,26.1755713013359,24.6442905173033,11.2143037724801,3.6924044838898,"PHL"
"Thailand","THA",1998,2,75.10990501621,8.77579710036,80.4201695,76.8079055,46.055,5602920428.55016,5439941718.44417,457,74184,233295400620.313,50452115592.3216,22.4170341842356,26.1755713013359,24.6442905173033,11.2143037724801,3.8298363344402,"THA"
"Singapore","SGP",1998,2,86.31076751637,1.04778212655,94.52479005074,104.13506725,1.6522,2324321272.11367,2513824724.92332,457,74184,233295400620.313,50452115592.3216,21.645071225083,26.1755713013359,24.6442905173033,11.2143037724801,0.502107733146268,"SGP"
"Malaysia","MYS",1998,3,76.82332675475,5.20033206096,100.07273161709,97.56934045455,3.73309090909,4951316959.67947,4914485618.27092,458,76369,233467503696.538,50813949280.7888,22.3154529295796,26.1763087339057,24.6514367459788,11.2433321336498,1.31723655245939,"MYS"
"Singapore","SGP",1998,3,85.77564191856,0.91224428482,95.88250957701,104.72987636364,1.6175,2947969698.17064,2567451524.8327,458,76369,233467503696.538,50813949280.7888,21.6661796192899,26.1763087339057,24.6514367459788,11.2433321336498,0.480881747392919,"SGP"
"Philippines","PHL",1998,3,53.75928044322,8.11267986828,137.35544928821,96.76930045455,38.77863636364,7019627670.55648,6213571131.05095,458,76369,233467503696.538,50813949280.7888,22.5500016289682,26.1763087339057,24.6514367459788,11.2433321336498,3.65786948580379,"PHL"
"Thailand","THA",1998,3,75.81803943129,9.26202151376,89.697715,86.27663863636,41.2825,6370406039.40821,5677817736.80474,458,76369,233467503696.538,50813949280.7888,22.4598327945885,26.1763087339057,24.6514367459788,11.2433321336498,3.72043868135501,"THA"
"Malaysia","MYS",1998,4,77.0042430309,5.4803154127,99.73226690553,97.14205136364,3.73131818182,4971567744.79063,4868502881.24745,459,76350,234314304613.773,51392962198.2549,22.3060523101971,26.1799292331521,24.6627670778199,11.2430833106468,1.31676157117641,"MYS"
"Singapore","SGP",1998,4,85.82439522682,0.5070483803,96.82843251796,105.52181590909,1.59986363636,2465562223.46947,2558503579.78539,459,76350,234314304613.773,51392962198.2549,21.6626883853819,26.1799292331521,24.6627670778199,11.2430833106468,0.469918398338685,"SGP"
"Thailand","THA",1998,4,76.34477706656,9.86870579271,93.11049681818,90.00923363636,39.56272727273,5111705627.46057,5707473285.92488,459,76350,234314304613.773,51392962198.2549,22.465042255836,26.1799292331521,24.6627670778199,11.2430833106468,3.67788744453826,"THA"
"Philippines","PHL",1998,4,54.14619922392,8.34100038148,137.84625509597,97.55769318182,38.36,6200787752.85448,6087192748.39584,459,76350,234314304613.773,51392962198.2549,22.5294528515386,26.1799292331521,24.6627670778199,11.2430833106468,3.64701525001524,"PHL"
"Singapore","SGP",1998,5,85.62241723546,0.06511653146,95.62498606541,103.38300190476,1.63519047619,2304801175.84354,2331335342.25781,460,76492,235817786331.228,51897392503.4973,21.5697070486254,26.1863252519388,24.6725343850757,11.2449414391829,0.491759296762489,"SGP"
"Philippines","PHL",1998,5,54.95256039297,9.82629160596,136.36547306886,97.72732785714,39.17619047619,6403748074.33617,5896752828.71109,460,76492,235817786331.228,51897392503.4973,22.4976676683349,26.1863252519388,24.6725343850757,11.2449414391829,3.66806917645145,"PHL"
"Thailand","THA",1998,5,76.78996110732,10.20477418681,95.17588714286,92.32949785714,39.10404761905,5372723945.74998,5380831022.15946,460,76492,235817786331.228,51897392503.4973,22.406108664277,26.1863252519388,24.6725343850757,11.2449414391829,3.66622598130233,"THA"
"Malaysia","MYS",1998,5,77.12697251386,5.31863541297,98.54372458479,96.10225095238,3.80323809524,4860188426.67923,4805826011.64757,460,76492,235817786331.228,51897392503.4973,22.2930947712848,26.1863252519388,24.6725343850757,11.2449414391829,1.33585283420173,"MYS"
"Malaysia","MYS",1998,6,77.91151867586,6.29068148159,96.48705133825,94.63590818182,4.00263636364,4688056753.23434,4825304160.94146,461,74911,234334741854.075,52166879925.7223,22.2971396082876,26.180016450828,24.6777136462832,11.2240560212054,1.38695323492487,"MYS"
"Singapore","SGP",1998,6,85.55276965223,-0.19229727534,94.60518203335,101.91066272727,1.69636363636,2587407410.37853,2465615388.34191,461,74911,234334741854.075,52166879925.7223,21.6257072637265,26.180016450828,24.6777136462832,11.2240560212054,0.528486922618684,"SGP"
